Disease,Count of Disease Occurrence,Symptom,Rank of Symptom in Disease
UMLS:C0002871_anemia,544,UMLS:C0020625_hyponatremia,8
UMLS:C0002871_anemia,544,UMLS:C0012833_dizziness,7
UMLS:C0002871_anemia,544,UMLS:C0392680_shortness of breath,6
UMLS:C0002871_anemia,544,UMLS:C0030193_pain,5
UMLS:C0002871_anemia,544,UMLS:C0035508_rhonchus,4
UMLS:C0002871_anemia,544,UMLS:C0003862_arthralgia,3
UMLS:C0002871_anemia,544,UMLS:C0038999_swelling,2
UMLS:C0002871_anemia,544,UMLS:C1096646_transaminitis,1
UMLS:C0024117_chronic obstructive airway disease,524,UMLS:C0392680_shortness of breath,10
UMLS:C0024117_chronic obstructive airway disease,524,UMLS:C0043144_wheezing,9
UMLS:C0024117_chronic obstructive airway disease,524,UMLS:C0010200_cough,8
UMLS:C0024117_chronic obstructive airway disease,524,UMLS:C0013404_dyspnea,7
UMLS:C0024117_chronic obstructive airway disease,524,UMLS:C0476273_distress respiratory,6
UMLS:C0024117_chronic obstructive airway disease,524,UMLS:C0241235_sputum purulent,5
UMLS:C0024117_chronic obstructive airway disease,524,UMLS:C0700292_hypoxemia,4
UMLS:C0024117_chronic obstructive airway disease,524,UMLS:C0020440_hypercapnia,3
UMLS:C0024117_chronic obstructive airway disease,524,UMLS:C0376405_patient non compliance,2
UMLS:C0024117_chronic obstructive airway disease,524,UMLS:C0232292_chest tightness,1
UMLS:C0497327_dementia,504,UMLS:C0015967_fever,17
UMLS:C0497327_dementia,504,UMLS:C0085639_fall,16
UMLS:C0497327_dementia,504,UMLS:C0241526_unresponsiveness,15
UMLS:C0497327_dementia,504,UMLS:C0023380_lethargy,14
UMLS:C0497327_dementia,504,UMLS:C0085631_agitation,13
UMLS:C0497327_dementia,504,UMLS:C0013491_ecchymosis,12
UMLS:C0497327_dementia,504,UMLS:C0039070_syncope,11
UMLS:C0497327_dementia,504,UMLS:C0034642_rale,10
UMLS:C0497327_dementia,504,UMLS:C0041657_unconscious state,9
UMLS:C0497327_dementia,504,UMLS:C0010200_cough,8
UMLS:C0497327_dementia,504,UMLS:C0425251_bedridden,7
UMLS:C0497327_dementia,504,UMLS:C0030193_pain,6
UMLS:C0497327_dementia,504,UMLS:C0427055_facial paresis,5
UMLS:C0497327_dementia,504,UMLS:C0232498_abdominal tenderness,4
UMLS:C0497327_dementia,504,UMLS:C0035508_rhonchus,3
UMLS:C0497327_dementia,504,UMLS:C1273573_unsteady gait,2
UMLS:C0497327_dementia,504,UMLS:C0233762_hallucinations auditory,1
UMLS:C1565489_insufficiency renal,445,UMLS:C0392680_shortness of breath,17
UMLS:C1565489_insufficiency renal,445,UMLS:C0020461_hyperkalemia,16
UMLS:C1565489_insufficiency renal,445,UMLS:C0085619_orthopnea,15
UMLS:C1565489_insufficiency renal,445,UMLS:C0034642_rale,14
UMLS:C1565489_insufficiency renal,445,UMLS:C0085606_urgency of micturition,13
UMLS:C1565489_insufficiency renal,445,UMLS:C0003962_ascites,12
UMLS:C1565489_insufficiency renal,445,UMLS:C0744492_guaiac positive,11
UMLS:C1565489_insufficiency renal,445,UMLS:C0004093_asthenia,10
UMLS:C1565489_insufficiency renal,445,UMLS:C0277797_apyrexial,9
UMLS:C1565489_insufficiency renal,445,UMLS:C0856054_mental status changes,8
UMLS:C1565489_insufficiency renal,445,UMLS:C0013404_dyspnea,7
UMLS:C1565489_insufficiency renal,445,UMLS:C1299586_difficulty,6
UMLS:C1565489_insufficiency renal,445,UMLS:C0011991_diarrhea,5
UMLS:C1565489_insufficiency renal,445,UMLS:C0020649_hypotension,4
UMLS:C1565489_insufficiency renal,445,UMLS:C0238844_breath sounds decreased,3
UMLS:C1565489_insufficiency renal,445,UMLS:C0038999_swelling,2
UMLS:C1565489_insufficiency renal,445,UMLS:C0086439_hypokinesia,1
UMLS:C0009676_confusion,408,UMLS:C0036572_seizure,20
UMLS:C0009676_confusion,408,UMLS:C0014394_enuresis,19
UMLS:C0009676_confusion,408,UMLS:C0023380_lethargy,18
UMLS:C0009676_confusion,408,UMLS:C0234518_speech slurred,17
UMLS:C0009676_confusion,408,UMLS:C0085639_fall,16
UMLS:C0009676_confusion,408,UMLS:C0239110_consciousness clear,15
UMLS:C0009676_confusion,408,UMLS:C0856054_mental status changes,14
UMLS:C0009676_confusion,408,UMLS:C0232766_asterixis,13
UMLS:C0009676_confusion,408,UMLS:C0041657_unconscious state,12
UMLS:C0009676_confusion,408,UMLS:C0085631_agitation,11
UMLS:C0009676_confusion,408,UMLS:C0231530_muscle twitch,10
UMLS:C0009676_confusion,408,UMLS:C0004093_asthenia,9
UMLS:C0009676_confusion,408,UMLS:C0234450_sleepy,8
UMLS:C0009676_confusion,408,UMLS:C0012833_dizziness,7
UMLS:C0009676_confusion,408,UMLS:C0018681_headache,6
UMLS:C0009676_confusion,408,UMLS:C0013362_dysarthria,5
UMLS:C0009676_confusion,408,UMLS:C0220870_lightheadedness,4
UMLS:C0009676_confusion,408,UMLS:C0040822_tremor,3
UMLS:C0009676_confusion,408,UMLS:C0020625_hyponatremia,2
UMLS:C0009676_confusion,408,UMLS:C0241526_unresponsiveness,1
UMLS:C0029408_degenerative polyarthritis,405,UMLS:C0030193_pain,11
UMLS:C0029408_degenerative polyarthritis,405,UMLS:C0149696_food intolerance,10
UMLS:C0029408_degenerative polyarthritis,405,UMLS:C0239832_numbness of hand,9
UMLS:C0029408_degenerative polyarthritis,405,UMLS:C0858924_general discomfort,8
UMLS:C0029408_degenerative polyarthritis,405,UMLS:C0013144_drowsiness,7
UMLS:C0029408_degenerative polyarthritis,405,UMLS:C0004093_asthenia,6
UMLS:C0029408_degenerative polyarthritis,405,UMLS:C0337672_nonsmoker,5
UMLS:C0029408_degenerative polyarthritis,405,UMLS:C0850149_non-productive cough,4
UMLS:C0029408_degenerative polyarthritis,405,UMLS:C0085602_polydypsia,3
UMLS:C0029408_degenerative polyarthritis,405,UMLS:C0427008_stiffness,2
UMLS:C0029408_degenerative polyarthritis,405,UMLS:C1273573_unsteady gait,1
UMLS:C0020676_hypothyroidism,398,UMLS:C0392680_shortness of breath,23
UMLS:C0020676_hypothyroidism,398,UMLS:C0242453_prostatism,22
UMLS:C0020676_hypothyroidism,398,UMLS:C0013144_drowsiness,21
UMLS:C0020676_hypothyroidism,398,UMLS:C0234450_sleepy,20
UMLS:C0020676_hypothyroidism,398,UMLS:C0020625_hyponatremia,19
UMLS:C0020676_hypothyroidism,398,UMLS:C0085639_fall,18
UMLS:C0020676_hypothyroidism,398,UMLS:C1273573_unsteady gait,17
UMLS:C0020676_hypothyroidism,398,UMLS:C0032617_polyuria,16
UMLS:C0020676_hypothyroidism,398,UMLS:C0020649_hypotension,15
UMLS:C0020676_hypothyroidism,398,UMLS:C1299586_difficulty,14
UMLS:C0020676_hypothyroidism,398,UMLS:C0039070_syncope,13
UMLS:C0020676_hypothyroidism,398,UMLS:C0028084_nightmare,12
UMLS:C0020676_hypothyroidism,398,UMLS:C0234518_speech slurred,11
UMLS:C0020676_hypothyroidism,398,UMLS:C0043094_weight gain,10
UMLS:C0020676_hypothyroidism,398,UMLS:C0004093_asthenia,9
UMLS:C0020676_hypothyroidism,398,UMLS:C0015672_fatigue,8
UMLS:C0020676_hypothyroidism,398,UMLS:C0557875_tired,7
UMLS:C0020676_hypothyroidism,398,UMLS:C0085631_agitation,6
UMLS:C0020676_hypothyroidism,398,UMLS:C0856054_mental status changes,5
UMLS:C0020676_hypothyroidism,398,UMLS:C0424230_motor retardation,4
UMLS:C0020676_hypothyroidism,398,UMLS:C0042963_vomiting,3
UMLS:C0020676_hypothyroidism,398,UMLS:C0028643_numbness,2
UMLS:C0020676_hypothyroidism,398,UMLS:C0577559_mass of body structure,1
UMLS:C0700613_anxiety state,390,UMLS:C0233481_worry,24
UMLS:C0700613_anxiety state,390,UMLS:C0424000_feeling suicidal,23
UMLS:C0700613_anxiety state,390,UMLS:C0438696_suicidal,22
UMLS:C0700613_anxiety state,390,UMLS:C0917801_sleeplessness,21
UMLS:C0700613_anxiety state,390,UMLS:C0150041_feeling hopeless,20
UMLS:C0700613_anxiety state,390,UMLS:C0022107_irritable mood,19
UMLS:C0700613_anxiety state,390,UMLS:C0040822_tremor,18
UMLS:C0700613_anxiety state,390,UMLS:C0312422_blackout,17
UMLS:C0700613_anxiety state,390,UMLS:C0424109_weepiness,16
UMLS:C0700613_anxiety state,390,UMLS:C0557075_has religious belief,15
UMLS:C0700613_anxiety state,390,UMLS:C0027769_nervousness,14
UMLS:C0700613_anxiety state,390,UMLS:C0233763_hallucinations visual,13
UMLS:C0700613_anxiety state,390,UMLS:C0016579_formication,12
UMLS:C0700613_anxiety state,390,UMLS:C1299586_difficulty,11
UMLS:C0700613_anxiety state,390,UMLS:C0008031_pain chest,10
UMLS:C0700613_anxiety state,390,UMLS:C0376405_patient non compliance,9
UMLS:C0700613_anxiety state,390,UMLS:C0085631_agitation,8
UMLS:C0700613_anxiety state,390,UMLS:C0030252_palpitation,7
UMLS:C0700613_anxiety state,390,UMLS:C0233762_hallucinations auditory,6
UMLS:C0700613_anxiety state,390,UMLS:C0344315_mood depressed,5
UMLS:C0700613_anxiety state,390,UMLS:C0600142_hot flush,4
UMLS:C0700613_anxiety state,390,UMLS:C0030193_pain,3
UMLS:C0700613_anxiety state,390,UMLS:C0239110_consciousness clear,2
UMLS:C0700613_anxiety state,390,UMLS:C0028084_nightmare,1
UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0030193_pain,11
UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0577559_mass of body structure,10
UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0221198_lesion,9
UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0332601_cushingoid facies,8
UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0878661_cushingoid habitus,7
UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0743482_emphysematous change,6
UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0043096_decreased body weight,5
UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0003962_ascites,4
UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0019825_hoarseness,3
UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0205400_thicken,2
UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0018965_hematuria,1
UMLS:C0019682_HIV,350,UMLS:C0015967_fever,14
UMLS:C0019682_HIV,350,UMLS:C0028081_night sweat,13
UMLS:C0019682_HIV,350,UMLS:C0233308_spontaneous rupture of membranes,12
UMLS:C0019682_HIV,350,UMLS:C0010200_cough,11
UMLS:C0019682_HIV,350,UMLS:C0043096_decreased body weight,10
UMLS:C0019682_HIV,350,UMLS:C0085593_chill,9
UMLS:C0019682_HIV,350,UMLS:C0011991_diarrhea,8
UMLS:C0019682_HIV,350,UMLS:C0008033_pleuritic pain,7
UMLS:C0019682_HIV,350,UMLS:C0376405_patient non compliance,6
UMLS:C0019682_HIV,350,UMLS:C0231835_tachypnea,5
UMLS:C0019682_HIV,350,UMLS:C0239134_productive cough,4
UMLS:C0019682_HIV,350,UMLS:C0026827_muscle hypotonia,3
UMLS:C0019682_HIV,350,UMLS:C0241938_hypotonic,2
UMLS:C0019682_HIV,350,UMLS:C0424000_feeling suicidal,1
UMLS:C0007642_cellulitis,341,UMLS:C0041834_erythema,14
UMLS:C0007642_cellulitis,341,UMLS:C0030193_pain,13
UMLS:C0007642_cellulitis,341,UMLS:C0038999_swelling,12
UMLS:C0007642_cellulitis,341,UMLS:C0332575_redness,11
UMLS:C0007642_cellulitis,341,UMLS:C0015967_fever,10
UMLS:C0007642_cellulitis,341,UMLS:C0549483_abscess bacterial,9
UMLS:C0007642_cellulitis,341,UMLS:C0376405_patient non compliance,8
UMLS:C0007642_cellulitis,341,UMLS:C0020580_hypesthesia,7
UMLS:C0007642_cellulitis,341,UMLS:C0034880_hyperacusis,6
UMLS:C0007642_cellulitis,341,UMLS:C0033774_pruritus,5
UMLS:C0007642_cellulitis,341,UMLS:C0008031_pain chest,4
UMLS:C0007642_cellulitis,341,UMLS:C1384489_scratch marks,3
UMLS:C0007642_cellulitis,341,UMLS:C0085593_chill,2
UMLS:C0007642_cellulitis,341,UMLS:C0234233_sore to touch,1
UMLS:C0017168_gastroesophageal reflux disease,325,UMLS:C0030193_pain,17
UMLS:C0017168_gastroesophageal reflux disease,325,UMLS:C0008031_pain chest,16
UMLS:C0017168_gastroesophageal reflux disease,325,UMLS:C0085624_burning sensation,15
UMLS:C0017168_gastroesophageal reflux disease,325,UMLS:C0020625_hyponatremia,14
UMLS:C0017168_gastroesophageal reflux disease,325,UMLS:C0239233_satiety early,13
UMLS:C0017168_gastroesophageal reflux disease,325,UMLS:C1444773_throbbing sensation quality,12
UMLS:C0017168_gastroesophageal reflux disease,325,UMLS:C0232292_chest tightness,11
UMLS:C0017168_gastroesophageal reflux disease,325,UMLS:C0234215_sensory discomfort,10
UMLS:C0017168_gastroesophageal reflux disease,325,UMLS:C1305739_presence of q wave,9
UMLS:C0017168_gastroesophageal reflux disease,325,UMLS:C0027497_nausea,8
UMLS:C0017168_gastroesophageal reflux disease,325,UMLS:C0858924_general discomfort,7
UMLS:C0017168_gastroesophageal reflux disease,325,UMLS:C0009806_constipation,6
UMLS:C0017168_gastroesophageal reflux disease,325,UMLS:C0030252_palpitation,5
UMLS:C0017168_gastroesophageal reflux disease,325,UMLS:C0000737_pain abdominal,4
UMLS:C0017168_gastroesophageal reflux disease,325,UMLS:C0018834_heartburn,3
UMLS:C0017168_gastroesophageal reflux disease,325,UMLS:C0700590_sweating increased,2
UMLS:C0017168_gastroesophageal reflux disease,325,UMLS:C0004093_asthenia,1
UMLS:C0036690_septicemia,311,UMLS:C0015967_fever,14
UMLS:C0036690_septicemia,311,UMLS:C0476273_distress respiratory,13
UMLS:C0036690_septicemia,311,UMLS:C0020649_hypotension,12
UMLS:C0036690_septicemia,311,UMLS:C0231835_tachypnea,11
UMLS:C0036690_septicemia,311,UMLS:C0085593_chill,10
UMLS:C0036690_septicemia,311,UMLS:C0023380_lethargy,9
UMLS:C0036690_septicemia,311,UMLS:C0428977_bradycardia,8
UMLS:C0036690_septicemia,311,UMLS:C0006157_breech presentation,7
UMLS:C0036690_septicemia,311,UMLS:C0010520_cyanosis,6
UMLS:C0036690_septicemia,311,UMLS:C0233308_spontaneous rupture of membranes,5
UMLS:C0036690_septicemia,311,UMLS:C0019080_haemorrhage,4
UMLS:C0036690_septicemia,311,UMLS:C0241526_unresponsiveness,3
UMLS:C0036690_septicemia,311,UMLS:C0034642_rale,2
UMLS:C0036690_septicemia,311,UMLS:C0277797_apyrexial,1
UMLS:C0149871_deep vein thrombosis,310,UMLS:C0038999_swelling,12
UMLS:C0149871_deep vein thrombosis,310,UMLS:C0030193_pain,11
UMLS:C0149871_deep vein thrombosis,310,UMLS:C0013491_ecchymosis,10
UMLS:C0149871_deep vein thrombosis,310,UMLS:C0392680_shortness of breath,9
UMLS:C0149871_deep vein thrombosis,310,UMLS:C0023222_pain in lower limb,8
UMLS:C0149871_deep vein thrombosis,310,UMLS:C0018800_cardiomegaly,7
UMLS:C0149871_deep vein thrombosis,310,UMLS:C0034642_rale,6
UMLS:C0149871_deep vein thrombosis,310,UMLS:C0041834_erythema,5
