question_name|answers|exam_type|title|raw_question|processed_question|raw_correct_answer|processed_correct_answer
Câu 20|A. Nhật Bản là một nước ở châu Á, có điều kiện tự nhiên, xã hội, văn hóa gần giống với Việt Nam.B. Nhật Bản đã từng đứng trước nguy cơ bị thực dân phương Tây xâm lược.C. Sau cuộc Duy Tân Minh trị (1868), Nhật Bản trở thành một nước tư bản hùng mạnh.D. Chính phủ Nhật Bản cam kết giúp đỡ phong trào độc lập dân tộc của Việt Nam.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Ý nào sau đây không phải lý do khiên Phan Bội Châu muốn dựa vào Nhật Bản để giành độc lập dân tộc?|ý nào sau đây không phải lý_do khiên phan bội châu muốn dựa vào nhật bản để giành độc_lập dân_tộc|D . Chính phủ Nhật Bản cam kết giúp đỡ phong trào độc lập dân tộc của Việt Nam.|chính_phủ nhật bản cam_kết giúp_đỡ phong_trào độc_lập dân_tộc của việt_nam
Câu 21|A. kịch liệt phản đối chủ trương bạo động, vốn là phương pháp truyền thống, rất có hiệu quả trong cuộc đấu tranh giành và giữ độc lập dân tộc trong lịch sử.B. chủ trương dựa vào Pháp để đem lại sự giàu mạnh, văn minh cho đất nước, coi đó là một trong những cơ sở giành độc lập.C. phản đối tư tưởng dân chủ lập hiến, dựa vào ngôi vua để thu phục nhân tâm, rất phù hợp với hoàn cảnh Việt Nam cũng như khu vực lúc bấy giờ.D. tư tưởng Duy tân chỉ tác động tới một bộ phận trí thức không thể thâm nhập vào quảng đại quần chúng nhân dân lao động.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Hạn chế căn bản trong tư tưởng cứu nước của cụ Phan Châu Trinh là|hạn_chế căn_bản trong tư_tưởng cứu nước của cụ phan châu trinh là|B . chủ trương dựa vào Pháp để đem lại sự giàu mạnh, văn minh cho đất nước, coi đó là một trong những cơ sở giành độc lập.|chủ_trương dựa vào pháp để đem lại sự giàu_mạnh văn_minh cho đất_nước coi đó là một trong những cơ_sở giành độc_lập
Câu 22|A. đánh đuổi thực dân Pháp và phong kiến giành độc lập dân tộc.B. đánh đuổi giặc Pháp, khôi phục nước Việt Nam, thành lập nước cộng hòa dân quốc việt Nam.C. đánh đuổi thực dân Pháp, giành độc lập, thành lập một chính thể quân chủ lập hiến ở Việt Nam.D. đánh đuổi thực dân Pháp khôi phục lại chế độ quân chủ chuyên chế ở Việt Nam.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Mục đích của Duy Tân hội là gì?|mục_đích của duy_tân hội là gì|C . đánh đuổi thực dân Pháp, giành độc lập, thành lập một chính thể quân chủ lập hiến ở Việt Nam.|đánh_đuổi thực_dân pháp giành độc_lập thành_lập một chính_thể quân_chủ lập_hiến ở việt_nam
Câu 23|A. phụ huynh đòi đưa con em về trước thời hạn.B. đã hết thời gian đào tạo phải về nước.C. Phan Bội Châu thấy không có tác dụng nên đưa về nước.D. Chính phủ Nhật câu kết Pháp, trục xuất những người yêu nước Việt Nam (kể cả Phan Bội Châu).|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Tháng 8/1908 phong trào Đông Dương tan rã vì|tháng 81908 phong_trào đông dương tan_rã vì|D . Chính phủ Nhật câu kết Pháp, trục xuất những người yêu nước Việt Nam (kể cả Phan Bội Châu).|chính_phủ nhật câu_kết pháp trục_xuất những người_yêu nước việt nam kể_cả phan bội châu
Câu 24|A. chống Pháp và phong kiến.B. dùng bạo lực giành độc lập.C. dựa vào Pháp chống phong kiến xây dựng nước Việt Nam cộng hòa.D. cải cách nâng cao dân sinh, dân trí, dân quyền, dựa vào Pháp đánh đổ phong kiến. |exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Chủ trương cứu nước của cụ Phan Châu Trinh là|chủ_trương cứu nước của cụ phan châu trinh là|D . cải cách nâng cao dân sinh, dân trí, dân quyền, dựa vào Pháp đánh đổ phong kiến.|cải_cách nâng cao dân_sinh dân_trí dân_quyền dựa vào pháp đánh_đổ phong_kiến
Câu 25|A. kinh tế - văn hóa- xã hội. 		B. kinh tế - quân sự - ngoại giao.C. kinh tế - xã hội – quân sự.		D. văn hóa – xã hội – quân sự.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Hoạt động cứu nước của cụ Phan Châu Trinh thể hiện trên các lĩnh vực|hoạt_động cứu nước của cụ phan châu trinh thể_hiện trên các lĩnh_vực|A . kinh tế - văn hóa- xã hội.|kinh_tế văn_hóa xã_hội
Câu 26|A. mở cuộc vận động Duy Tân ở Trung Kỳ.B. thành lập Duy Tân hội.C. thành lập Việt Nam Quang phục hội.D. tổ chức phong trào Đông du.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Năm 1906, Phan Chu Trinh và nhóm sĩ phu tiến bộ ở Quảng Nam đã |năm 1906 phan chu trinh và nhóm sĩ phu tiến_bộ ở quảng_nam đã|A . mở cuộc vận động Duy Tân ở Trung Kỳ.|mở cuộc vận_động duy_tân ở trung_kỳ
Câu 27|A. cổ động chấn hưng thực nghiệp, lập hội kinh doanh.B. cuộc vận động cải cách trang phục và lối sống.C. thành lập nông hội, mở lò rèn, xưởng mộc…D. mở trường học theo lối mới.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Một trong những hoạt động độc đáo của cuộc vận động Duy Tân ở Trung Kỳ (1906) là|một trong những hoạt_động độc_đáo của cuộc vận_động duy_tân ở trung kỳ 1906 là|B . cuộc vận động cải cách trang phục và lối sống.|cuộc vận_động cải_cách trang_phục và lối sống
Câu 28|A. chống Pháp và phong kiến.B. dùng bạo lực giành độc lập.C. dựa vào Pháp chống phong kiến xây dựng nước Việt Nam cộng hòa.D. cải cách nâng cao dân sinh|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Chủ trương cứu nước của cụ Phan Bội Châu là|chủ_trương cứu nước của cụ phan bội châu là|B . dùng bạo lực giành độc lập.|dùng bạo_lực giành độc_lập
Câu 1|A. địa thế rừng núi hiểm trở, thuận lợi cho cách đánh du kích.B. vùng đầm, hồ, lau sậy um tùm, dễ che dấu lực lượng mai phục và đánh địch.C. vùng đầm lầy, nghĩa quân có thể xây dựng căn cứ phòng thủ.D. vùng trung du, dễ đánh và rút lui.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Nghĩa quân chọn Bãi Sậy để xây dựng căn cứ vì|nghĩa_quân chọn bãi sậy để xây_dựng căn_cứ vì|B . vùng đầm, hồ, lau sậy um tùm, dễ che dấu lực lượng mai phục và đánh địch.|vùng đầm hồ lau sậy um_tùm dễ che dấu lực_lượng mai_phục và đánh địch
Câu 2|A. Phan Thanh Giản .      B. Cao Thắng.C. Tôn Thất Thuyết  .     D. Nguyễn Văn Tường.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Người đứng đầu phái chủ chiến chủ trương chống Pháp trong triều đình Huế là|người đứng đầu phái chủ_chiến chủ_trương chống pháp trong triều đình huế là|C . Tôn Thất Thuyết  .|tôn thất_thuyết
Câu 3|A. Đưa vua Hàm Nghi rời khỏi Hoàng thành đến sơn phòng Tân Sở (Quảng Trị).B. Tiếp tục xây dựng hệ thống sơn phòng.C. Bổ sung lực lượng quân sự.D. Đưa vua Hàm Nghi và Tam cung rời khỏi Hoàng thành đến sơn phòng Âu Sơn (Hà Tĩnh).|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Sau khi cuộc phản công kinh thành Huế thất bại, Tôn Thất Thuyết đã làm gì?|sau khi cuộc phản_công kinh_thành huế thất_bại tôn thất_thuyết đã làm gì|A . Đưa vua Hàm Nghi rời khỏi Hoàng thành đến sơn phòng Tân Sở (Quảng Trị).|đưa vua hàm nghi rời khỏi hoàng_thành đến sơn_phòng tân sở quảng_trị
Câu 4|A. Tôn Thất Thuyết và Nguyễn Văn Tường.B. Hàm Nghi và Tôn Thất Thuyết.C. Nguyễn Văn Tường và Trần Xuân Soạn.D. Nguyễn Đức Nhuận và Đào Doãn Dịch.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Trong giai đoạn từ năm 1885 đến năm 1888, phong trào Cần vương đặt dưới sự chỉ huy của|trong giai_đoạn từ năm 1885 đến năm 1888 phong_trào cần vương đặt dưới sự chỉ_huy của|B . Hàm Nghi và Tôn Thất Thuyết.|hàm nghi và tôn thất_thuyết
Câu 5|A. Tuynidi.       B. Angiêri.C. Mêhicô.       D. Nam Phi.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Sau khi bắt được vua Hàm Nghi, thực dân Pháp đã đưa ông đi đày ở đâu?|sau khi bắt được vua hàm nghi thực_dân pháp đã đưa ông đi đày ở đâu|B . Angiêri.|angiêri
Câu 6|A. Đề Nắm .      B. Đề Thám.C. Nguyễn Trung Trực.       D. Phan Đình Phùng.  |exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Trong giai đoạn từ năm 1893 đến năm 1897, lãnh tụ tối cao của khởi nghĩa Yên Thế là|trong giai_đoạn từ năm 1893 đến năm 1897 lãnh_tụ tối_cao của khởi_nghĩa yên thế_là|B . Đề Thám.|đề thám
Câu 7|A. củng cố chế độ phong kiến Việt Nam.B. buộc thực dân Pháp phải trao trả độc lập.C. thổi bùng lên ngọn lửa  yêu nước trong nhân dân.D. xuất hiện trào lưu yêu nước.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Ý nghĩa của chiếu Cần vương là|ý_nghĩa của chiếu cần vương là|C . thổi bùng lên ngọn lửa  yêu nước trong nhân dân.|thổi bùng lên ngọn lửa yêu nước trong nhân_dân
Câu 8|A. khởi nghĩa Hương Khê.       B. khởi nghĩa Hùng Lĩnh.C. khởi nghĩa Ba Đình.       D. khởi nghĩa Bãi Sậy.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Cuộc khởi nghĩa tiêu biểu nhất trong phong trào Cần vương cuối thế kỉ XIX là|cuộc khởi_nghĩa tiêu_biểu nhất trong phong_trào cần vương cuối thế_kỉ xix là|A . khởi nghĩa Hương Khê.|khởi_nghĩa hương_khê
Câu 9|A. Yên Lễ, Mục Sơn, Nhã Nam, Hữu Thượng.B. Phủ Lạng Thương.C. Tiên Lữ (Hưng Yên).D. Hà Tĩnh, Nghệ An, Thanh Hóa, Hưng Yên, Hải Dương.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Đến năm 1981, từ Yên Thế, nghĩa quân đã mở rộng hoạt động sang vùng nào?|đến năm 1981 từ yên_thế nghĩa_quân đã mở_rộng hoạt_động sang vùng nào|B . Phủ Lạng Thương.|phủ lạng thương
Câu 10|A. hưởng ứng chiếu Cần vương.B. chống thực dân Pháp, chống triều đình nhà Nguyễn.C. là phong trào nông dân chống Pháp, không thuộc phạm trù phong trào Cần vương.D. phản ứng trước hành động đầu hàng thực dân Pháp của triều đình.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Điểm khác của khởi nghĩa Yên Thế so với các cuộc khởi nghĩa trong phong trào Cần vương là|điểm khác của khởi_nghĩa yên_thế so với các cuộc khởi_nghĩa trong phong_trào cần vương là|C . là phong trào nông dân chống Pháp, không thuộc phạm trù phong trào Cần vương.|là phong_trào nông_dân chống pháp không thuộc phạm_trù phong_trào cần vương
Câu 11|A. Rivie .      B. Gác-ni-ê.C. Pôn Đu-me.       D. Bôlaéc.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Năm 1897, thực dân Pháp cử nhân vật nào sang làm Toàn quyền Đông Dương?|năm 1897 thực_dân pháp cử_nhân_vật nào sang làm toàn_quyền đông_dương|C. Pôn Đu-me.|pôn đume
Câu 12|A. địa chủ phong kiến và tiểu tư sản.B. địa chủ phong kiến và tư sản.C. địa chủ phong kiến và nông dân.D. công nhân và nông dân.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Trước cuộc khi thác thuộc địa lần thứ nhất, xã hội Việt Nam có hai giai cấp cơ bản là|trước cuộc khi thác thuộc_địa lần thứ nhất xã_hội việt nam có hai giai_cấp cơ_bản là|C. địa chủ phong kiến và nông dân.|địa chủ phong_kiến và nông_dân
Câu 13|A. Đòi quyền lợi kinh tế.       B. Đòi quyền lợi giai cấp.C. Đòi quyền lợi dân tộc .      D. Đòi quyền tự do, dân chủ.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Đầu thế kỉ XX, mục tiêu đấu tranh của giai cấp công nhân Việt Nam là gì?|đầu thế_kỉ xx mục_tiêu đấu_tranh của giai_cấp công_nhân việt nam là gì|A . Đòi quyền lợi kinh tế.|đòi quyền_lợi kinh_tế
Câu 14|A. Chính sách “chia để trị”.B. Chính sách “dùng người Pháp trị người Việt”.C. Chính sách “đồng hóa” dân tộc Việt Nam.D. Chính sách “khủng bố trắng” đối với những người chống đối.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Thực dân Pháp đã thực hiện chính sách nào ngay từ khi tiến hành công cuộc khai thác thuộc địa lần thứ nhất ở Việt Nam?|thực_dân pháp đã thực_hiện chính_sách nào ngay từ khi tiến_hành công_cuộc khai_thác thuộc_địa lần thứ nhất ở việt_nam|A . Chính sách “chia để trị”.|chính_sách “ chia để_trị ”
Câu 15|A. Tầng lớp tư sản dân tộc.       B. Tầng lớp tiểu tư sản.C. Giai cấp công nhân.              D. Giai cấp nông dân.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Giai cấp hay tầng lớp nào ở Việt Nam ngày càng gánh chịu nhiều thứ thuế và bị khổ cực trăm bề trong thời gian thực dân Pháp tiến hành công cuộc khai thác thuộc địa lần thứ nhất?|giai_cấp hay tầng_lớp nào ở việt nam ngày_càng gánh_chịu nhiều thứ thuế và bị khổ_cực trăm bề trong thời_gian thực_dân pháp tiến_hành công_cuộc khai_thác thuộc_địa lần thứ nhất|D . Giai cấp nông dân.|giai_cấp nông_dân
Câu 16|A. nền kinh tế phát triển rõ rệt.B. công nghiệp phát triển.C. cơ cấu kinh tế ít nhiều có sự biến chuyển, cơ cấu xã hội biến đổi sâu sắc.D. phong trào yêu nước phát triển mạnh.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Hệ quả lớn nhất trong chính sách cai trị của thực dân Pháp đối với Việt Nam sau cuộc khai thác thuộc địa lần thứ nhất là|hệ_quả lớn nhất trong chính_sách cai_trị của thực_dân pháp đối_với việt nam sau cuộc khai_thác thuộc_địa lần thứ nhất_là|C . cơ cấu kinh tế ít nhiều có sự biến chuyển, cơ cấu xã hội biến đổi sâu sắc.|cơ_cấu kinh_tế ít_nhiều có sự biến_chuyển cơ_cấu xã_hội biến_đổi sâu_sắc
Câu 17|A. Phương thức sản xuất phong kiến.B. Phương thức sản xuất nhỏ, tự cung tự cấp.C. Phương thức sản xuất thực dân.D. Phương thức sản xuất tư bản chủ nghĩa.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Qua công cuộc khai thác thuộc địa lần thứ nhất của thực dân Pháp, phương thức sản xuất nào từng bước du nhập vào Việt Nam?|qua công_cuộc khai_thác thuộc_địa lần thứ nhất của thực_dân pháp phương_thức sản_xuất nào từng bước du_nhập vào việt_nam|D . Phương thức sản xuất tư bản chủ nghĩa.|phương_thức sản_xuất tư_bản chủ_nghĩa
Câu 18|A. Vì họ đấu tranh chưa mạnh mẽ, chưa kiên quyết.B. Vì họ đấu tranh chủ yếu đòi quyền lợi về kinh tế.C. Vì họ đấu tranh đòi các quyền tự do dân chủ.D. Vì sự đàn áp dã man của thực dân Pháp.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Vì sao phong trào đấu tranh của công nhân Việt Nam trong những năm đầu thế kỉ XX còn mang tính tự phát?|vì_sao phong_trào đấu_tranh của công_nhân việt_nam trong những năm đầu thế_kỉ xx còn mang tính tự_phát|B . Vì họ đấu tranh chủ yếu đòi quyền lợi về kinh tế.|vì họ đấu_tranh chủ_yếu đòi quyền_lợi về kinh_tế
